Distance (m),Elevation (m)
0,505.739013671875
8.10483627220199,506.0328979492188
16.20967254440398,506.4802856445312
24.31450881660597,507.1622009277344
32.41934508880796,507.8322143554688
40.52418136100995,508.65771484375
48.62901763321194,509.3712158203125
56.73385390541392,509.711669921875
64.83869017761592,509.6058654785156
72.94352644981791,509.4287414550781
81.0483627220199,509.3323669433594
89.15319899422188,509.4725952148438
97.25803526642387,509.7424621582031
105.36287153862587,510.1325378417969
113.46770781082785,510.4024658203125
121.57254408302984,510.6483154296875
129.67738035523183,510.8589782714844
137.78221662743383,511.0868835449219
145.88705289963582,511.3982238769531
153.9918891718378,511.5871276855469
162.0967254440398,511.7683715820312
170.20156171624177,511.4347839355469
178.30639798844376,510.49560546875
186.41123426064576,510.0202941894531
194.51607053284775,510.329833984375
202.62090680504974,510.4736633300781
210.72574307725174,509.9614562988281
218.83057934945373,509.2382507324219
226.9354156216557,508.6668395996094
235.0402518938577,508.3511047363281
243.14508816605968,507.986572265625
251.24992443826167,507.2587280273438
259.35476071046367,506.4030456542969
267.45959698266563,505.673095703125
275.56443325486765,504.900634765625
283.6692695270696,504.1900939941406
291.77410579927164,503.8875732421875
299.8789420714736,504.0238952636719
307.9837783436756,504.404296875
316.0886146158776,504.5429382324219
324.1934508880796,503.3650817871094
332.2982871602816,502.00439453125
340.40312343248354,501.4581298828125
348.50795970468556,500.8513488769531
356.6127959768875,500.1392211914062
364.71763224908955,499.4095153808594
372.8224685212915,498.6010437011719
380.92730479349353,497.6173400878906
389.0321410656955,496.6826782226562
397.13697733789746,496.9124145507812
405.2418136100995,498.1613159179688
413.34664988230145,499.3119812011719
421.45148615450347,499.9084777832031
429.55632242670544,500.603515625
437.66115869890746,501.5788269042969
445.7659949711094,502.9392395019531
453.8708312433114,504.316650390625
461.9756675155134,505.2490539550781
470.0805037877154,505.5174560546875
478.1853400599174,505.0661010742188
486.29017633211936,503.8179931640625
494.3950126043214,501.6719360351562
502.49984887652334,498.8851318359375
510.60468514872537,496.4072570800781
518.7095214209273,494.7716369628906
526.8143576931293,493.3625793457031
534.9191939653313,492.3637390136719
543.0240302375333,491.8601684570312
551.1288665097353,491.4166870117188
559.2337027819373,490.4792175292969
567.3385390541392,489.4141540527344
575.4433753263413,488.4704284667969
583.5482115985433,487.3608093261719
591.6530478707452,485.9815063476562
599.7578841429472,484.5398864746094
607.8627204151492,482.8789367675781
615.9675566873512,481.2516174316406
624.0723929595532,480.0220336914062
632.1772292317552,478.7399291992188
640.2820655039571,476.7662963867188
648.3869017761592,474.3661193847656
656.4917380483612,472.172607421875
